"urn:cite:fufolioimg:Chad1962","The St. Chad Gospel: Images of the 1962 facsimile","/project/homer/Lichfield/ptiffs/Chad_1962_ptiffs"
"urn:cite:fufolioimg:Chad1929","The St. Chad Gospel: Images of the 1929 facsimile","/project/homer/Lichfield/ptiffs/Chad_1929_ptiffs"
"urn:cite:fufolioimg:Chad1912","The St. Chad Gospel: Images of the 1912 facsimile","/project/homer/Lichfield/ptiffs/Chad_1912_ptiffs"
"urn:cite:fufolioimg:WycliffRGB","The Wycliffe New Testament (1410): Composite RGB Images","/project/homer/Lichfield/ptiffs/Wycliffe_RGB_ptiffs"
"urn:cite:fufolioimg:WycliffMS","The Wycliffe New Testament (1410): Multispectral Images","/project/homer/Lichfield/ptiffs/Wycliffe_Multispectral_ptiffs"
"urn:cite:fufolioimg:ChadRGB","The St. Chad Gospel: Composite RGB Images","/project/homer/Lichfield/ptiffs/Chad_RGB_ptiffs"
"urn:cite:fufolioimg:ChadMS","The St. Chad Gospel: Multispectral Images","/project/homer/Lichfield/ptiffs/Chad_Multispectral_ptiffs"
"urn:cite:fufolioimg:Caroliniana","Images of historical botanical collections and related texts","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:AthPol","B.L. Papyrus 141 - The Aristotelian Constitution of the Athenians","/project/homer/AthPol/pyramids"
"urn:cite:fufolioimg:Bankes","B.L. Papyrus 114 - The Bankes Papyrus of Iliad 24","/project/homer/Bankes/pyramids"
"urn:cite:ecod:codbod25","Cologny, Fondation Martin Bodmer, Cod. Bodmer 25 (www.e-codices.unifr.ch)","/project/homer/pyramidal/CodBod25"
"urn:cite:fufolioimg:alcman","Alcman, Fragment 1, Louvre.","/project/homer/AthPol/pyramids"
"urn:cite:fufolioimg:chadpoc","The St. Chad Gospel: proof of concept","/project/homer/lichfield/ptiffs/poc"
"urn:cite:fufolioimg:wexler","Images from the Peter Wexler Digital Museum, courtesy of Peter Wexler and the James B. Duke Library at Furman University","/project/homer/wexler_pyramids"
"urn:cite:fufolioimg:neh","Images for an NEH application","/project/homer/hmt-nonarchival/VGF64"
"urn:cite:fufolioimg:berlioz","Images of musical scores of Berlioz' Les Troyens","/project/homer/wexler_pyramids"
"urn:cite:fufolioimg:BotCarCatesbyHS","Images of Mark Catesby's botanical specimens from the Sloane Herbarium.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarCatesbyNH","Images of Mark Catesby's Natural History.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarBartramJ","Images of John Bartram's herbarium specimens from the Sloane Herbarium.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarBartramW","Images of William Bartram's herbarium specimens from the Sloane Herbarium.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarFranklin","Images of Franklin's herbarium specimens from the Sloane Herbarium.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarHalsteed","Images of Halsteed's herbarium specimens from the Sloane Herbarium.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarLord","Images of Lord's herbarium specimens from the Sloane Herbarium.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarMichaux","Images of Michaux's herbarium specimens from the Jardin des Plantes, Paris.","/project/homer/Sloane/pyramids"
"urn:cite:fufolioimg:BotCarWalter","Images of specimens from the Walter Herbarium, Sloane Herbarium, London.","/project/homer/Sloane/pyramids"
